model,arrhythmia,breastw,cardio,campaign,cardiotocography,glass,ionosphere,mammography,optdigits,pima,pendigits,satellite,thyroid,wbc,wine,AVG_AUC
MemAE-d64-lr0.005,0.6148,0.9787,0.7002,0.3851,0.604,0.2445,0.9813,0.4977,0.3446,0.6912,0.7006,0.8391,0.7337,0.7814,0.8221,0.6613
MemAE-d64-lr0.005-t0.1,0.6135,0.9794,0.7099,0.4987,0.5963,0.3335,0.9793,0.5159,0.3114,0.6912,0.6681,0.8595,0.7091,0.7742,0.82,0.6707
MemAE-d64-lr0.01,0.6175,0.9809,0.6898,0.3941,0.5957,0.2757,0.9818,0.4971,0.3654,0.6971,0.7492,0.851,0.7419,0.7724,0.83,0.6693
MemAE-d64-lr0.01-t0.1,0.6158,0.9803,0.706,0.5073,0.602,0.3364,0.9785,0.505,0.391,0.6848,0.7402,0.8612,0.6897,0.7776,0.8255,0.6801
MemAE-d64-lr0.05,0.614,0.9789,0.6956,0.5189,0.6119,0.3407,0.9797,0.4874,0.4522,0.6852,0.7563,0.8589,0.7152,0.7529,0.8034,0.6834
MemAE-d64-lr0.05-t0.1,0.6167,0.9753,0.7179,0.4528,0.6123,0.3738,0.9753,0.4911,0.474,0.6855,0.7958,0.8689,0.7165,0.7352,0.8111,0.6868
MemAE-l2-d128-lr0.001,0.6138,0.9814,0.775,0.5161,0.6545,0.2501,0.9767,0.4382,0.2369,0.69,0.6155,0.8254,0.7646,0.7863,0.7897,0.661
MemAE-l2-d128-lr0.001-t0.1,0.6164,0.983,0.7955,0.5344,0.6616,0.2319,0.9745,0.4245,0.2118,0.7004,0.6543,0.8372,0.7963,0.771,0.7395,0.6621
MemAE-l2-d128-lr0.005,0.6097,0.9866,0.7245,0.4818,0.6084,0.3084,0.9743,0.427,0.4076,0.6994,0.6787,0.8559,0.7801,0.7898,0.784,0.6744
MemAE-l2-d128-lr0.005-t0.1,0.6145,0.9848,0.7284,0.4865,0.6128,0.2379,0.9657,0.3351,0.3088,0.6888,0.6232,0.8576,0.7814,0.7692,0.7244,0.6479
MemAE-l2-d128-lr0.01,0.61,0.9852,0.7284,0.4905,0.602,0.281,0.9553,0.3493,0.4088,0.6973,0.788,0.8571,0.7849,0.7967,0.7823,0.6745
MemAE-l2-d128-lr0.01-t0.1,0.6157,0.9872,0.8274,0.4861,0.6798,0.2108,0.9545,0.345,0.1298,0.69,0.4045,0.8605,0.7927,0.7715,0.7583,0.6343
MemAE-l2-d128-lr0.05,0.6116,0.9886,0.8459,0.4864,0.7083,0.1881,0.9424,0.3804,0.0775,0.6863,0.3078,0.8165,0.8027,0.7585,0.7166,0.6212
MemAE-l2-d128-lr0.05-t0.1,0.6136,0.9879,0.8465,0.4858,0.7155,0.2037,0.9526,0.3851,0.0769,0.6841,0.3715,0.8115,0.7885,0.7386,0.7318,0.6262
MemAE-l2-d256-lr0.001,0.6159,0.9823,0.7378,0.4952,0.617,0.2661,0.9782,0.4444,0.281,0.7,0.5996,0.8419,0.7806,0.7798,0.8164,0.6624
MemAE-l2-d256-lr0.001-t0.1,0.6125,0.9819,0.7628,0.5155,0.6272,0.26,0.9636,0.4073,0.2481,0.7047,0.7748,0.8495,0.7862,0.7519,0.7371,0.6655
MemAE-l2-d256-lr0.005,0.6102,0.983,0.7296,0.4921,0.6053,0.2994,0.96,0.2256,0.4396,0.7011,0.7552,0.8579,0.7884,0.7782,0.7369,0.6642
MemAE-l2-d256-lr0.005-t0.1,0.6154,0.9868,0.8351,0.4903,0.699,0.2231,0.9495,0.3503,0.1438,0.6949,0.3647,0.8513,0.785,0.768,0.7297,0.6325
MemAE-l2-d256-lr0.01,0.6143,0.9845,0.7635,0.4874,0.6411,0.2858,0.9589,0.351,0.1666,0.6926,0.5654,0.8638,0.7825,0.7721,0.7291,0.6439
MemAE-l2-d256-lr0.01-t0.1,0.6137,0.9888,0.8454,0.4856,0.7187,0.2158,0.9509,0.3786,0.0928,0.686,0.3617,0.8267,0.8025,0.7538,0.7517,0.6315
MemAE-l2-d256-lr0.05,0.6136,0.9895,0.8282,0.4896,0.7203,0.168,0.9419,0.3617,0.063,0.6955,0.3478,0.8176,0.7998,0.7435,0.692,0.6181
MemAE-l2-d256-lr0.05-t0.1,0.6092,0.9882,0.839,0.4867,0.7123,0.183,0.948,0.3664,0.0715,0.6864,0.3166,0.8201,0.7887,0.7436,0.6616,0.6147
MemAE-l2-d64-lr0.001,0.6125,0.9831,0.8093,0.4198,0.6642,0.2233,0.9639,0.4467,0.176,0.6928,0.4044,0.8289,0.6381,0.7764,0.7309,0.6247
MemAE-l2-d64-lr0.001-t0.1,0.6149,0.9854,0.8189,0.4514,0.6672,0.2159,0.9647,0.4243,0.1748,0.6958,0.4893,0.8306,0.7653,0.7761,0.7351,0.6406
MemAE-l2-d64-lr0.005,0.6143,0.9833,0.7033,0.552,0.6026,0.2817,0.98,0.4327,0.338,0.7002,0.6575,0.8377,0.7726,0.7795,0.81,0.6697
MemAE-l2-d64-lr0.005-t0.1,0.6123,0.984,0.7185,0.542,0.612,0.2664,0.9676,0.412,0.2974,0.7024,0.7107,0.8484,0.7866,0.7575,0.7494,0.6645
MemAE-l2-d64-lr0.01,0.6094,0.9852,0.7064,0.4888,0.6066,0.2951,0.9752,0.4253,0.3426,0.6974,0.7082,0.8537,0.7774,0.784,0.8269,0.6721
MemAE-l2-d64-lr0.01-t0.1,0.6126,0.9812,0.7206,0.483,0.6058,0.267,0.9552,0.3811,0.343,0.7115,0.8081,0.859,0.788,0.7779,0.7227,0.6678
MemAE-l2-d64-lr0.05,0.6154,0.9871,0.8415,0.4861,0.7068,0.2852,0.9555,0.3863,0.1029,0.6887,0.2963,0.8399,0.8038,0.7625,0.7344,0.6328
MemAE-l2-d64-lr0.05-t0.1,0.6132,0.9891,0.8443,0.4866,0.7,0.1846,0.9498,0.3803,0.0783,0.6913,0.3892,0.8104,0.8032,0.7681,0.7018,0.626
MemPAE-ws-d16-lr0.001,0.6139,0.9862,0.8055,0.5115,0.641,0.2714,0.9778,0.4101,0.2369,0.6878,0.8107,0.8656,0.7748,0.7673,0.7945,0.677
MemPAE-ws-d16-lr0.001-t0.1,0.6142,0.9851,0.793,0.5054,0.651,0.3131,0.9792,0.4198,0.2538,0.6862,0.7377,0.8734,0.769,0.7698,0.762,0.6742
MemPAE-ws-d16-lr0.005,0.615,0.9842,0.772,0.474,0.6375,0.2934,0.9783,0.4232,0.2993,0.6927,0.8091,0.8563,0.7655,0.7859,0.8401,0.6818
