,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_501,0.0237,0.0008,0.0223,0.0297,0.0197,0.023,0.0193,0.0187,0.0197,0.0186,0.1709,0.0013,0.0011,0.0007,0.0017,0.0005,0.0015,0.0012,0.0017,0.0097
feature_502,-0.0048,0.0002,0.023,0.0399,0.0206,0.0237,0.0164,0.0192,0.0201,0.0183,0.1812,0.0016,0.0017,0.0009,0.0011,0.0005,0.0017,0.0007,0.0011,0.0094
feature_503,-0.0539,0.0019,0.0247,0.0419,0.022,0.025,0.0158,0.0191,0.0204,0.0189,0.1877,0.0005,0.0026,0.0008,0.0019,0.001,0.0014,0.0006,0.0013,0.01
feature_504,0.0239,0.0008,0.0264,0.0496,0.0245,0.0271,0.0164,0.0215,0.0229,0.0209,0.2094,0.0007,0.0038,0.0005,0.0014,0.001,0.0014,0.0011,0.0014,0.0114
feature_505,-0.0119,0.0004,0.0208,0.0319,0.0197,0.0202,0.0152,0.018,0.0186,0.0178,0.1622,0.0009,0.0026,0.0008,0.0016,0.0006,0.0012,0.0012,0.002,0.0109
feature_506,0.0118,0.0004,0.0269,0.0388,0.024,0.0256,0.02,0.0213,0.0229,0.0224,0.2019,0.0008,0.006,0.0012,0.001,0.0005,0.0016,0.0017,0.0007,0.0136
feature_507,0.0014,0.0,0.0206,0.0298,0.0197,0.0233,0.0199,0.0198,0.0201,0.0182,0.1714,0.0009,0.0018,0.0009,0.0007,0.0009,0.0012,0.0008,0.0021,0.0093
feature_508,-0.0129,0.0004,0.0222,0.0488,0.0218,0.0245,0.0179,0.0222,0.0235,0.02,0.201,0.0006,0.0022,0.0011,0.0007,0.0011,0.0009,0.0008,0.0006,0.008
feature_509,-0.029,0.001,0.02,0.0362,0.0199,0.0252,0.0197,0.0213,0.0214,0.0194,0.1831,0.0008,0.0019,0.0017,0.0008,0.001,0.001,0.0006,0.0009,0.0087
feature_510,0.039,0.0014,0.0198,0.0399,0.0182,0.0246,0.0185,0.0206,0.0214,0.0176,0.1805,0.0017,0.0029,0.0007,0.0011,0.0011,0.002,0.0009,0.0008,0.0111
feature_511,0.0696,0.0024,0.0257,0.0617,0.0242,0.0315,0.0222,0.0276,0.0288,0.0238,0.2456,0.002,0.0029,0.0011,0.0014,0.0009,0.0025,0.0008,0.0007,0.0122
feature_512,-0.0249,0.0009,0.05,0.0225,0.0453,0.0317,0.0543,0.0401,0.0447,0.0545,0.3432,0.0012,0.0012,0.002,0.0016,0.0095,0.0024,0.0012,0.0044,0.0235
feature_513,0.0426,0.0015,0.0386,0.0207,0.0356,0.0276,0.0431,0.0338,0.0361,0.0423,0.2778,0.0034,0.0007,0.0036,0.0018,0.002,0.0021,0.0022,0.0031,0.0187
